;lnk;name;company;date_valid
176;https://jobs.ge/ge/?view=jobs&id=379038;ოპერატორი;შარმ ტრეიდინგი;09 ივნისი-09 ივლისი
177;https://jobs.ge/ge/?view=jobs&id=378987;IT ადმინისტრატორი;ibis budget;09 ივნისი-06 ივლისი
178;https://jobs.ge/ge/?view=jobs&id=378938;უფროსი Front-End დეველოპერი;უნიფეი;09 ივნისი-09 ივლისი
179;https://jobs.ge/ge/?view=jobs&id=378912;ტექნიკური მხარდაჭერის ინჟინრების ჯგუფის უფროსი;UGT;09 ივნისი-09 ივლისი
180;https://jobs.ge/ge/?view=jobs&id=378837;ბიზნეს ანალიტიკოსი;Prodware;09 ივნისი-09 ივლისი
181;https://jobs.ge/ge/?view=jobs&id=378842;.NET დეველოპერი - Microsoft Dynamics 365 CE/CRM;Prodware;09 ივნისი-09 ივლისი
182;https://jobs.ge/ge/?view=jobs&id=378839;ფრანგულენოვანი Microsoft Dynamics დეველოპერი;Prodware;09 ივნისი-09 ივლისი
183;https://jobs.ge/ge/?view=jobs&id=378746;სტაჟირება - QA Manual ტესტერი;კროკობეთი;08 ივნისი-08 ივლისი
184;https://jobs.ge/ge/?view=jobs&id=378751;სტაჟირება - QA Manual & Backend ტესტერი;კროკობეთი;08 ივნისი-08 ივლისი
185;https://jobs.ge/ge/?view=jobs&id=378752;სტაჟირება - QA Manual & Automation ტესტერი;კროკობეთი;08 ივნისი-08 ივლისი
186;https://jobs.ge/ge/?view=jobs&id=377766;სხვადასხვა - .NET;EPAM;08 ივნისი-03 ივლისი
187;https://jobs.ge/ge/?view=jobs&id=377764;სხვადასხვა - Java;EPAM;08 ივნისი-03 ივლისი
188;https://jobs.ge/ge/?view=jobs&id=377765;სხვადასხვა - მონაცემები;EPAM;08 ივნისი-03 ივლისი
189;https://jobs.ge/ge/?view=jobs&id=378590;კლიენტთა მენეჯერი;IT Rex;08 ივნისი-08 ივლისი
190;https://jobs.ge/ge/?view=jobs&id=378551;IT მხარდაჭერის უმცროსი ოფიცრის სტაჟიორი;კრედო ბანკი;08 ივნისი-08 ივლისი
191;https://jobs.ge/ge/?view=jobs&id=378482;ტესტერი;აპტოსი;07 ივნისი-07 ივლისი
192;https://jobs.ge/ge/?view=jobs&id=378472;Full Stack დეველოპერი;Dressup Group;07 ივნისი-30 ივნისი
193;https://jobs.ge/ge/?view=jobs&id=378443;კლიენტთა მენეჯერი;IT Rex;07 ივნისი-07 ივლისი
194;https://jobs.ge/ge/?view=jobs&id=378438;სათვალთვალო კამერების ინსტალატორი;ოსერვისი;07 ივნისი-07 ივლისი
195;https://jobs.ge/ge/?view=jobs&id=378408;IT მხარდაჭერის სპეციალისტი;ტექნეტი;07 ივნისი-07 ივლისი
196;https://jobs.ge/ge/?view=jobs&id=378381;აპლიკაციების მხარდაჭერის სპეციალისტი;თიბისი დაზღვევა;07 ივნისი-07 ივლისი
197;https://jobs.ge/ge/?view=jobs&id=378371;საშუალო C/C++ დეველოპერი, უფროსი C/C++ დეველოპერი;Embedded Solutions GEO;07 ივნისი-07 ივლისი
198;https://jobs.ge/ge/?view=jobs&id=378241;სხვადასხვა;Yes Ays;07 ივნისი-07 ივლისი
199;https://jobs.ge/ge/?view=jobs&id=378233;Java დეველოპერი - დროებითი;დიზაინ მოაზროვნეთა საზოგადოება;07 ივნისი-07 ივლისი
200;https://jobs.ge/ge/?view=jobs&id=378226;QA ავტომატიზაციის ინჟინერი/სტაჟიორი;a1qa;07 ივნისი-07 ივლისი
201;https://jobs.ge/ge/?view=jobs&id=378184;IT რეპორტინგის სპეციალისტი;იშბანკი საქართველო;07 ივნისი-07 ივლისი
202;https://jobs.ge/ge/?view=jobs&id=378179;Javascript დეველოპერი;AppCreative;07 ივნისი-07 ივლისი
203;https://jobs.ge/ge/?view=jobs&id=378177;Front End დეველოპერი ;ნიუსრუმი;07 ივნისი-28 ივნისი
204;https://jobs.ge/ge/?view=jobs&id=378147;სისტემის ანალიტიკოსი;სფეისი;07 ივნისი-07 ივლისი
205;https://jobs.ge/ge/?view=jobs&id=378122;სამედიცინო სახარჯი მასალების და აპარატურის იმპორტის მენეჯერი;მედ თრეიდერი;06 ივნისი-31 ივლისი
206;https://jobs.ge/ge/?view=jobs&id=378111;PHP Full-Stack დეველოპერი;Paint Your Life;06 ივნისი-06 ივლისი
207;https://jobs.ge/ge/?view=jobs&id=378086;Middle დეველოპერი C/C++, უფროსი დეველოპერი C/C++;Embedded Solutions GEO;06 ივნისი-06 ივლისი
208;https://jobs.ge/ge/?view=jobs&id=378075;SQL სერვერის მონაცემთა ბაზების უფროსი ადმინისტრატორი;პროკრედიტ ბანკი;06 ივნისი-30 ივნისი
209;https://jobs.ge/ge/?view=jobs&id=378077;Middle React Native დეველოპერი;პროკრედიტ ბანკი;06 ივნისი-30 ივნისი
210;https://jobs.ge/ge/?view=jobs&id=378063;სისტემების და ქსელების უმცროსი სპეციალისტი;EGT Georgia;06 ივნისი-06 ივლისი
211;https://jobs.ge/ge/?view=jobs&id=378057;PHP Backend დეველოპერი;ConvieneOnline;06 ივნისი-06 ივლისი
212;https://jobs.ge/ge/?view=jobs&id=376234;Java დეველოპერი;კასატრეიდი;06 ივნისი-06 ივლისი
213;https://jobs.ge/ge/?view=jobs&id=377949;სხვადასხვა;სტარტაპ კომპანია;06 ივნისი-06 ივლისი
214;https://jobs.ge/ge/?view=jobs&id=377861;DevOps ინჟინერი;ინფორმაციული ტექნოლოგიების სააგენტო;06 ივნისი-06 ივლისი
215;https://jobs.ge/ge/?view=jobs&id=377812;Backend დეველოპერი;ProFair Games;05 ივნისი-05 ივლისი
216;https://jobs.ge/ge/?view=jobs&id=377792;ბიზნეს ანალიტიკოსი;Scandiweb;04 ივნისი-04 ივლისი
217;https://jobs.ge/ge/?view=jobs&id=377749;უფროსი Java დეველოპერი;ოპპა;03 ივნისი-03 ივლისი
218;https://jobs.ge/ge/?view=jobs&id=377747;Middle .Net დეველოპერი;ოპპა;03 ივნისი-03 ივლისი
219;https://jobs.ge/ge/?view=jobs&id=377745;IT სპეციალისტი;ჰიპერმარკეტი Domino;03 ივნისი-03 ივლისი
220;https://jobs.ge/ge/?view=jobs&id=377742;კონტენტ მენეჯერი;ჰიპერმარკეტი Domino;03 ივნისი-03 ივლისი
221;https://jobs.ge/ge/?view=jobs&id=377657;Front-End JavaScript დეველოპერი;Exactpro;03 ივნისი-03 ივლისი
222;https://jobs.ge/ge/?view=jobs&id=377654;Front-End დეველოპერი/React - Remote;Exactpro;03 ივნისი-03 ივლისი
223;https://jobs.ge/ge/?view=jobs&id=377655;უფროსი Java დეველოპერი;Exactpro;03 ივნისი-03 ივლისი
224;https://jobs.ge/ge/?view=jobs&id=377651;Java დეველოპერი - სავაჭრო სისტემა;Exactpro;03 ივნისი-03 ივლისი
