,name,price
82,"მზესუმზირა ""ჯინი"" მოხალული მარილით 140 გრ",1.99
83,"მზესუმზირა ""პინაკი"" 150გრ",2.95
84,"მზესუმზირა ""პინაკი"" მოხალული მარილიანი 80გრ",1.7
85,"მზესუმზირა ""ჯინი"" მოხალული 140 გრ",1.99
86,"მზესუმზირა ""ბილიჩკა"" მოხალული 80გრ",1.6
87,"მზესუმზირა ""პინაკი"" 80გრ",1.7
88,"მზესუმზირა ""ბილიჩკა"" მოხალული 150გრ",2.9
89,"მზესუმზირა ""ბილიჩკა"" მოხალული მარილით 150გრ",2.9
90,"ცივი ჩაი ""გურიელი"" ალუბალი 0,5ლ",2.2
91,"ცივი ჩაი ""ლიპტონ"" ჟოლო 0,5ლ",1.8
92,"ცივი ჩაი ""ლიპტონ"" ატამი 0,5ლ",1.8
93,"ცივი ჩაი ""გურიელი"" ატამი 0,5ლ",2.2
94,"ჩაი შავი ""მარიამი"" ბროკენ 2გრ*25ც",3.6
95,"ჩაი შავი ""გრინფილდი"" კენიანი 2გრ*25",4.95
96,"ჩაი შავი ""მარიამი"" 2გრ*25ც",3.6
97,"ჩაი შავი ""თაიგერი"" ინდოეთი 1,8გრ 25ც",1.75
98,"ჩაი შავი ""პრინცესა ნური"" 2გრ*25ც",2.2
99,"ჩაი შავი ""გრინფილდი"" ოქროს ცეილონი 2გრ*25ც",4.95
100,"ჩაი შავი ""გიტა"" ინდოეთი 2გრ 25ც",1.9
101,"ჩაი შავი ""აჰმად"" იანან მისტი ფოლგაში 25ც",4.7
102,"ჩაი შავი ""აზერჩაი"" 2გრ*25ც",3.8
103,"ჩაი შავი ""აჰმად"" კლასიკური პაკეტი 25ც",4.8
104,"ჩაი შავი ""გრინფილდ"" კლასიკ ბრექვასთ 2გრ*25ც",4.95
105,"ჩაი შავი ""აჰმადი"" 2გრ*25ც + ფინჯანი",6.95
106,"ჩაი შავი ""მარიამი"" სუპერი 2გრ*25ც",3.45
107,"ჩაი შავი ""გრინფილდი"" როიალ ელგრეი 2*20ც",6.6
108,"ჩაი შავი ""ბერქა"" ერლგრეი 24ც",4.1
109,"ჩაი შავი ""რჩეული"" 2*25ც",1.99
110,"ჩაი მწვანე ""აჰმად"" პაკეტი 25ც",4.7
111,"ჩაი მწვანე ""გრინფილდ"" მფრინავი დრაკონი 2გრ*25ც",4.95
112,"ჩაი მწვანე ""გრინფილდ"" ჟასმინის არომატით 2გრ*25ც",4.95
113,"ჩაი გასახდომი ""ჰეილისი"" თეთრეკალა 2*25ც",6.99
114,"ჩაი ხილის ""გრინფილდ"" სამერ ბუკეტი 2გრ*25ც",3.19
115,"ჩაი ხილის ""პრინცესა ნური"" მალინა 1,5გრ*25ც",2.9
116,"ჩაი გასახდომი ""ჰეილისი"" ჟოლო და კენკრა 2*25ც",9.95
117,"ჩაი შავი ""აჰმად"" მარწყვის კრემი ფოლგაში 25ც",4.5
118,"ჩაი ხილის ""ტეს"" 1,8*20ც",3.49
119,"ჩაი ხილის ""პრინცესა ნური"" შავი კენკრით 1,5გრ*25ც",2.9
120,"ენერგეტიკული სასმელი ""ბუმ ფაიარ"" 0,33ლ",1.6
121,"ენერგეტიკული სასმელი ""ბუმ ფაიარ"" ზერო 0,33ლ",0.99
122,"ენერგეტიკული სასმელი ”რედ ბულ” შაქრის გარეშე 0,25ლ",4.2
123,"ენერგეტიკული სასმელი ”რედ ბულ” 0,25ლ",4.2
124,"ენერგეტიკული სასმელი ”XL"" 0,25ლ",2.95
125,"ენერგეტიკული სასმელი ""iENERGY"" 0,33ლ",0.99
126,"ენერგეტიკული სასმელი ”XL"" 0,5ლ",5.45
127,"ჩიფსი კარტოფილის ""ლეისი"" კლასიკი 20გრ",1.2
128,"ჩიფსი კარტოფილის ""ლეისი"" კლასიკი 117გრ",4.6
129,"ჩიფსი კარტოფილის ""ლეისი"" კლასიკი 67გრ",3
130,"ჩიფსი სიმინდის ""დორიტოსი"" ტაგო 77გრ",2.29
131,"ჩიფსი სიმინდის ""დორიტოსი"" ნაჩო 72გრ",2.29
132,"ჩიფსი კარტოფილის ""ლეისი"" ყველის 140გრ",4.6
